"Points:0","Points:1","Points:2"
0.88941,0.050333,0
0.90845,0.048614,0
0.92611,0.046958,0
0.94259,0.045185,0
0.9582,0.04299,0
0.97325,0.039902,0
0.98805,0.035199,0
1.0024,0.027627,0
1.0164,0.015488,0
1.0172,9.1657e-11,0
1.0164,-0.015488,0
1.0204,-0.017575,0
1.0067,-0.032179,0
0.99168,-0.04166,0
0.976,-0.047756,0
0.96011,-0.051766,0
0.94385,-0.054487,0
0.92693,-0.056475,0
0.90903,-0.058119,0
0.88989,-0.059684,0
0.86932,-0.061334,0
0.8472,-0.063151,0
0.82349,-0.065163,0
0.79818,-0.067366,0
0.7713,-0.069738,0
0.74294,-0.072248,0
0.71318,-0.074861,0
0.68216,-0.077538,0
0.65004,-0.080238,0
0.617,-0.082916,0
0.58325,-0.085528,0
0.54903,-0.088028,0
0.51457,-0.090371,0
0.48012,-0.092513,0
0.44593,-0.094415,0
0.41224,-0.096043,0
0.37927,-0.09737,0
0.34722,-0.098377,0
0.31628,-0.099055,0
0.28661,-0.099403,0
0.25831,-0.099429,0
0.23148,-0.09915,0
0.20619,-0.098587,0
0.18245,-0.097766,0
0.16028,-0.096715,0
0.13963,-0.095452,0
0.12046,-0.09399,0
0.10268,-0.092318,0
0.086166,-0.090402,0
0.070796,-0.088179,0
0.056428,-0.085557,0
0.042934,-0.082418,0
0.03021,-0.078629,0
0.0182,-0.074046,0
0.0069041,-0.068529,0
-0.0036094,-0.061947,0
-0.013199,-0.0542,0
-0.021648,-0.045239,0
-0.028675,-0.035103,0
-0.03396,-0.023954,0
-0.037197,-0.012115,0
-0.038264,-1.6776e-10,0
-0.037197,0.012115,0
-0.03396,0.023954,0
-0.028675,0.035103,0
-0.021648,0.045239,0
-0.013199,0.0542,0
-0.0036094,0.061947,0
0.0069041,0.068529,0
0.0182,0.074046,0
0.03021,0.078629,0
0.042934,0.082418,0
0.056428,0.085557,0
0.070796,0.088179,0
0.086166,0.090402,0
0.10268,0.092318,0
0.12046,0.09399,0
0.13963,0.095452,0
0.16028,0.096715,0
0.18245,0.097766,0
0.20619,0.098587,0
0.23148,0.09915,0
